"Index","Player","AVG","OPS","GP-GS","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB-ATT"
NA,"D. Vera (St. Scholastica)",0.462,1.451,"22-20",65,21,30,4,2,6,28,56,0.862,19,4,11,1,0.589,2,0,"5-6"
NA,"Henry Black (St. Olaf)",0.432,1.199,"23-23",81,23,35,14,0,2,28,55,0.679,10,7,11,1,0.52,2,1,"1-1"
NA,"Max Israel (St. Scholastica)",0.415,1.061,"18-9",41,8,17,3,0,1,14,23,0.561,7,0,4,1,0.5,0,0,"0-0"
NA,"Hayden Sperbeck (Bethel)",0.407,1.085,"28-28",108,37,44,9,1,3,30,64,0.593,15,5,4,0,0.492,2,0,"5-5"
NA,"John Mcmurray (Macalester)",0.404,0.986,"29-28",109,27,44,7,0,2,31,57,0.523,13,0,15,1,0.463,1,1,"8-9"
NA,"Raymond Mccaskey (Macalester)",0.388,1.169,"30-30",103,37,40,10,4,3,28,67,0.65,15,13,22,1,0.519,0,2,"7-10"
NA,"Luke Krull (St. Scholastica)",0.378,1.078,"26-23",98,28,37,10,2,3,30,60,0.612,10,7,15,3,0.466,1,0,"15-16"
NA,"Chris Cannon (Bethel)",0.378,1.069,"26-23",90,19,34,10,1,2,23,52,0.578,16,4,7,0,0.491,0,0,"1-1"
NA,"Jackson Golberg (Gustavus)",0.373,0.935,"24-23",75,15,28,3,1,1,12,36,0.48,10,2,12,0,0.455,1,0,"7-8"
NA,"Drew Jenkins (Augsburg)",0.373,0.928,"17-17",51,9,19,1,0,0,13,20,0.392,17,1,6,2,0.536,0,0,"3-4"
NA,"Markus Isaiah (St. Scholastica)",0.367,0.983,"26-23",98,28,36,7,0,3,15,52,0.531,12,4,13,0,0.452,1,0,"18-20"
NA,"Stanley Regguinti (Augsburg)",0.365,0.983,"17-17",63,19,23,7,0,1,13,33,0.524,7,4,8,0,0.459,0,0,"3-4"
NA,"Brendan Hemr (Saint John's)",0.363,1.057,"25-25",91,26,33,5,2,5,21,57,0.626,10,1,31,0,0.431,0,2,"6-8"
NA,"Kanen Kreafle (St. Olaf)",0.36,1.106,"28-26",89,26,32,9,0,5,16,56,0.629,15,5,21,3,0.477,0,1,"1-1"
NA,"Finley Spicer (St. Scholastica)",0.358,0.924,"26-23",95,25,34,5,1,2,26,47,0.495,9,5,14,2,0.429,3,0,"11-12"
NA,"Oran Hinkle (Bethel)",0.357,0.965,"29-29",115,37,41,10,0,3,39,60,0.522,18,3,12,0,0.443,4,0,"6-6"
NA,"Jorda Sivoravong (Augsburg)",0.356,0.907,"14-14",45,11,16,2,1,0,8,20,0.444,5,4,7,1,0.463,0,2,"3-4"
NA,"Drew Girtz (Bethel)",0.351,0.999,"29-30",114,39,40,13,2,1,20,60,0.526,20,9,10,0,0.473,3,2,"15-16"
NA,"Seth Nelson (Bethel)",0.351,1.262,"28-28",94,33,33,9,0,10,34,72,0.766,18,11,19,1,0.496,2,0,"2-2"
NA,"Mason Henry (Concordia)",0.35,0.892,"23-22",80,13,28,4,1,1,11,37,0.463,7,4,11,1,0.429,0,2,"2-2"
NA,"Gavan Schulte (Saint Mary's)",0.348,0.983,"28-28",92,22,32,6,1,2,20,46,0.5,20,6,10,0,0.483,2,2,"10-13"
NA,"Cole Pleimann (St. Olaf)",0.344,0.944,"26-25",90,24,31,6,0,3,23,46,0.511,11,3,16,2,0.433,0,2,"1-1"
NA,"Ryan Chang (Carleton)",0.338,0.837,"21-18",65,9,22,4,2,0,11,30,0.462,4,1,8,1,0.375,2,0,"1-1"
NA,"Burley Ryan (Hamline)",0.336,0.837,"29-27",107,18,36,4,3,0,17,46,0.43,12,2,14,0,0.407,2,5,"9-9"
NA,"Tristan Lander (Macalester)",0.333,0.819,"27-25",87,15,29,6,0,0,18,35,0.402,10,4,10,3,0.417,2,2,"0-1"
NA,"Nathan Barnhart (Carleton)",0.333,0.89,"22-22",66,17,22,3,0,0,11,25,0.379,16,9,12,2,0.511,1,1,"3-3"
NA,"Jack Pettit (St. Olaf)",0.333,0.853,"23-19",60,13,20,3,0,1,7,26,0.433,7,2,16,0,0.42,0,2,"1-2"
