"Index","Player","ERA","W","L","GS","CG","SHO","SV","IP","H","R","ER","BB","SO","KL","2B","3B","HR","AB","B/AVG","WP","HBP","BK"
NA,"Max Edwards (Saint John's)",0.88,5,0,5,1,"1-1",1,41,20,5,4,11,45,11,3,2,0,140,0.143,0,1,0
NA,"Matthew Magnuson (Saint John's)",2.04,3,1,6,1,"0-1",0,35.1,33,13,8,8,21,5,6,1,1,138,0.239,0,6,0
NA,"Drew Girtz (Bethel)",2.87,3,0,7,0,"0-0",1,31.1,29,13,10,18,42,12,2,1,0,120,0.242,2,4,0
NA,"Eric Stromberg (Saint Mary's)",2.95,3,3,8,0,"0-0",0,36.2,32,12,12,12,27,7,6,0,1,133,0.241,1,6,0
NA,"Christensen Hans (Hamline)",3.45,2,2,6,1,"0-1",1,47,42,22,18,13,50,13,15,1,1,175,0.24,1,7,0
NA,"Kasey Carlson (Saint Mary's)",3.58,5,1,6,0,"0-0",0,37.2,27,17,15,5,20,5,1,0,4,130,0.208,0,7,0
NA,"Jonathan Stoeckle (St. Scholastica)",3.62,4,4,7,1,"1-0",0,27.1,25,21,11,19,23,6,3,1,1,108,0.231,3,3,0
NA,"Kevin Steel (St. Olaf)",3.72,2,1,7,0,"0-0",0,29,26,16,12,22,31,10,4,0,1,102,0.255,1,3,0
NA,"Ryan Kessner (Carleton)",3.99,2,1,4,0,"0-0",0,29.1,38,23,13,10,18,9,8,2,3,120,0.317,3,11,1
NA,"Yotter Teagan (Hamline)",4.01,1,3,7,0,"0-1",0,42.2,35,24,19,27,34,12,5,5,3,156,0.224,3,14,2
NA,"Jackson Hunter (Bethel)",4.17,4,2,7,1,"0-0",2,41,53,23,19,10,34,12,8,0,2,163,0.325,2,3,0
NA,"Austin Lang (Augsburg)",4.35,0,1,4,1,"0-0",0,20.2,15,11,10,13,22,4,2,0,0,72,0.208,4,1,0
NA,"Hunter Hoen (Saint John's)",4.42,2,1,6,0,"0-0",0,36.2,37,21,18,17,32,5,6,1,1,143,0.259,3,4,0
NA,"Mark Anderson (Bethel)",4.67,5,0,6,0,"0-0",0,34.2,33,22,18,16,33,14,7,0,4,125,0.264,5,2,1
NA,"Mccrady Ben (Hamline)",5.01,3,3,2,0,"0-0",0,32.1,34,19,18,12,25,4,6,1,5,128,0.266,1,6,0
NA,"Will Schnepf (Carleton)",5.16,0,4,3,0,"0-0",0,22.2,20,20,13,15,20,2,4,1,0,88,0.227,8,3,0
NA,"Logan Feeney (Gustavus)",5.56,2,2,5,0,"0-0",0,34,41,21,21,17,31,13,11,0,2,135,0.304,3,4,0
NA,"Benny McDonald (Gustavus)",5.72,1,5,9,1,"0-0",0,45.2,63,36,29,9,32,8,10,1,2,200,0.315,2,3,0
NA,"Manny Weiss (Augsburg)",5.85,1,1,3,0,"0-0",0,20,27,16,13,11,20,6,3,1,1,83,0.325,4,3,0
NA,"Brayden Wolfgram (Concordia)",6,2,2,4,1,"0-0",0,24,28,19,16,6,16,1,5,0,3,79,0.354,2,1,0
NA,"Jake Pittelkow (Augsburg)",6.23,2,2,4,1,"0-0",0,21.2,24,15,15,10,17,5,5,0,0,84,0.286,4,3,0
NA,"Ben King (Macalester)",6.75,2,1,8,1,"1-0",0,34.2,44,32,26,19,39,13,11,1,3,142,0.31,3,7,2
NA,"Charlie Werts (Carleton)",7.03,1,2,5,0,"0-0",0,24.1,29,19,19,9,19,5,7,0,3,100,0.29,2,7,7
NA,"Casey Bentley (Hamline)",7.71,2,1,7,1,"0-0",0,32.2,44,28,28,20,22,5,8,2,0,138,0.319,1,4,0
NA,"Vincent Rupp (Augsburg)",8.27,1,3,4,1,"0-0",0,20.2,33,24,19,7,11,1,5,0,0,90,0.367,3,5,1
