"game_date","day_of_week","away_team","away_score","home_team","home_score","status","result","winner","is_conference","location","boxscore_url"
2026-02-14,"Saturday","Hamline",4,"Buena Vista University",0,"Final","Final
                                                                                        
                                            
                                            
                                                9 innings","Hamline",FALSE,"Lincoln, NE // Sandhills Global Youth Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgicatzk%2fu1r3uhtcsQLqVYgS8l4oiFc0a5kxqajaOeeVMlsigpQKBdqfiaxxz8nsvr&path=baseball"
2026-02-15,"Sunday","Hamline",11,"Buena Vista University",17,"Final","Final","Buena Vista University",FALSE,"Lincoln, NE // Sandhills Global Youth Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiS5TrIwPnw4HyI7hV87JqNH%2fkd6FIQazIKad77dUrigoE99KNAf7j8kk2Czjk26Ir&path=baseball"
2026-02-15,"Sunday","University of Wisconsin-Superior",0,"Gustavus",2,"Final","Final","Gustavus",FALSE,"St. Peter, MN // Gustie Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPYnsJRwq%2bTPgevIU0rsFMATbPwc%2f5el%2b9T0XS8E99rGUUvgfV%2b7NExaTp9am7w9WuCVS5OTlTgNJWP%2bmZpt5pOpmAYnR7GOkzelg3dMu5j5V0gU6orpn8M%2b9KmeWWEjJ7&path=baseball"
2026-02-15,"Sunday","University of Wisconsin-Superior",2,"Gustavus",3,"Final","Final","Gustavus",FALSE,"St. Peter, MN // Gustie Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPYnsJRwq%2bTPgevIU0rsFMATbPwc%2f5el%2b9T0XS8E99rGUUvgfV%2b7NExaTp9am7w9WuCVS5OTlTgNJWP%2bmZpt5pOqAAoIpTrZmvPPLvPZHlLiy41b1pX4h%2fTNR0r3ldRSK6&path=baseball"
2026-02-15,"Sunday","Hamline",11,"Buena Vista University",9,"Final","Final","Hamline",FALSE,"Lincoln, NE // Sandhills Global Youth Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgicatzk%2fu1r3uhtcsQLqVYgZ6UmUxP0C5elKU1AeqTAXNE3Tkkcsei6vnfF3MlNtmf&path=baseball"
2026-02-20,"Friday","Macalester",5,"Loras College",6,"Final","Final","Loras College",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2Np3UAg8qF%2fB%2bU%2bOBXLwVAoZfLEk5Ki6wqKevf29NexSOaLT%2b8DcQ%2fCNyEHvQWBi7&path=baseball"
2026-02-20,"Friday","St. Scholastica",10,"Illinois College",22,"Final","Final","Illinois College",FALSE,"Jacksonville, IL // Joe Brooks Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP70MuHmFeDr%2fHoyAaAHnUYRiua6jdcXRvInqE90T2dVKY%2b5fijwT50yk2R%2bRiRSmI129AOU0QOvfxYo29BKPkVV%2bPZE8ySXOdCfddS5PbwDqt3zT2pAw%2bfVZr6jmOLDIvPSk2vk6GxmOgIKvK7xDNyw%3d%3d&path=baseball"
2026-02-20,"Friday","Macalester",10,"Loras College",6,"Final","Final","Macalester",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2ncBaIB2BmboURjyAntJrEBrwJ7KiD7miVwFzpOg9eh0bwUTkU0gnFakXrOWhXHRZ&path=baseball"
2026-02-20,"Friday","St. Scholastica",6,"Illinois College",5,"Final","Final","St. Scholastica",FALSE,"Jacksonville, IL // Joe Brooks Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP70MuHmFeDr%2fHoyAaAHnUYRiua6jdcXRvInqE90T2dVKY%2b5fijwT50yk2R%2bRiRSmI4dMdSpZOKCW97q7HQoW1OtlEiK39swY%2bV2Ryj4tnPzuJdsX7ApBTew7SOXCyfO67&path=baseball"
2026-02-20,"Friday","Saint Mary's",3,"Luther College",5,"Final","Final","Luther College",FALSE,"Tucson, AZ // Kino Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCTS9SeyAUoto5SdY%2fTBNU8KtgIJ9JDdHr0Q6qRvaRCBNumeY%2bjNFUgVgutY3RVtbi&path=baseball"
