"game_date","day_of_week","away_team","away_score","home_team","home_score","status","result","winner","is_conference","location","boxscore_url","away_runs","home_runs","away_starter","home_starter","away_starter_ip","home_starter_ip","game_id","home_team_std","away_team_std","home_rf_last5","home_ra_last5","home_win_last5","home_rd_last5","away_rf_last5","away_ra_last5","away_win_last5","away_rd_last5","home_rest_days","away_rest_days","home_sp_ip_last5","away_sp_ip_last5","home_era_proxy_last5","away_era_proxy_last5","home_era_season","home_whip_season","home_k_per9_season","home_bb_per9_season","home_opp_ba_season","away_era_season","away_whip_season","away_k_per9_season","away_bb_per9_season","away_opp_ba_season","home_fld_pct_season","home_errors_season","home_dp_season","home_sba_season","home_csb_season","away_fld_pct_season","away_errors_season","away_dp_season","away_sba_season","away_csb_season","away_starter_std","home_starter_std","away_starter_last","home_starter_last","has_both_pitchers","home_win","home_field","run_diff"
"2026-02-14","Saturday","Hamline",4,"Buena Vista University",0,"Final","Final
                                                                                        
                                            
                                            
                                                9 innings","Hamline",0,"Lincoln, NE // Sandhills Global Youth Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgicatzk%2fu1r3uhtcsQLqVYgS8l4oiFc0a5kxqajaOeeVMlsigpQKBdqfiaxxz8nsvr&path=baseball",4,0,"Yotter, Teagan (W, 1-0)","Ean McDaniel (L, 0-1)",6,5,1,"Buena Vista","Hamline",0,4,0,-4,4,0,1,4,NA,NA,5,6,7.2,0,NA,NA,NA,NA,NA,6.89,1.7063829787234,7.0468085106383,4.74893617021277,0.293432203389831,NA,NA,NA,NA,NA,0.954954954954955,45,24,27,7,"Yotter, Teagan (W, 1-0)","Ean McDaniel (L, 0-1)","yotter","mcdaniel",FALSE,0,1,-4
"2026-02-15","Sunday","Hamline",11,"Buena Vista University",17,"Final","Final","Buena Vista University",0,"Lincoln, NE // Sandhills Global Youth Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiS5TrIwPnw4HyI7hV87JqNH%2fkd6FIQazIKad77dUrigoE99KNAf7j8kk2Czjk26Ir&path=baseball",11,17,"S. Johnson","Johnson",2,4,2,"Buena Vista","Hamline",8.5,7.5,0.5,1,7.5,8.5,0.5,-1,1,1,4.5,4,15.975,13.5,NA,NA,NA,NA,NA,6.89,1.7063829787234,7.0468085106383,4.74893617021277,0.293432203389831,NA,NA,NA,NA,NA,0.954954954954955,45,24,27,7,"S. Johnson","Johnson","johnson","johnson",FALSE,1,1,6
"2026-02-15","Sunday","University of Wisconsin-Superior",0,"Gustavus",2,"Final","Final","Gustavus",0,"St. Peter, MN // Gustie Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPYnsJRwq%2bTPgevIU0rsFMATbPwc%2f5el%2b9T0XS8E99rGUUvgfV%2b7NExaTp9am7w9WuCVS5OTlTgNJWP%2bmZpt5pOpmAYnR7GOkzelg3dMu5j5V0gU6orpn8M%2b9KmeWWEjJ7&path=baseball",0,2,"Zach Romans (L, 0-1)","Oliver Giel",4,4,3,"Gustavus","of Wisconsin-Superior",2,0,1,2,0,2,0,-2,NA,NA,4,4,0,4.5,6.37,1.71782178217822,8.37623762376238,5.43564356435644,0.276073619631902,NA,NA,NA,NA,NA,0.960479041916168,33,13,28,5,NA,NA,NA,NA,NA,"Zach Romans (L, 0-1)","Oliver Giel","romans","giel",FALSE,1,1,2
"2026-02-15","Sunday","University of Wisconsin-Superior",2,"Gustavus",3,"Final","Final","Gustavus",0,"St. Peter, MN // Gustie Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPYnsJRwq%2bTPgevIU0rsFMATbPwc%2f5el%2b9T0XS8E99rGUUvgfV%2b7NExaTp9am7w9WuCVS5OTlTgNJWP%2bmZpt5pOqAAoIpTrZmvPPLvPZHlLiy41b1pX4h%2fTNR0r3ldRSK6&path=baseball",2,3,"Kaden Corlett","Benny McDonald",4,5,4,"Gustavus","of Wisconsin-Superior",2.5,1,1,1.5,1,2.5,0,-1.5,0,0,4.5,4,1.8,5.625,6.37,1.71782178217822,8.37623762376238,5.43564356435644,0.276073619631902,NA,NA,NA,NA,NA,0.960479041916168,33,13,28,5,NA,NA,NA,NA,NA,"Kaden Corlett","Benny McDonald","corlett","mcdonald",FALSE,1,1,1
"2026-02-15","Sunday","Hamline",11,"Buena Vista University",9,"Final","Final","Hamline",0,"Lincoln, NE // Sandhills Global Youth Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgicatzk%2fu1r3uhtcsQLqVYgZ6UmUxP0C5elKU1AeqTAXNE3Tkkcsei6vnfF3MlNtmf&path=baseball",11,9,"Casey, Bentley","Drew Cammann",3.2,5,5,"Buena Vista","Hamline",8.66666666666667,8.66666666666667,0.333333333333333,0,8.66666666666667,8.66666666666667,0.666666666666667,0,0,0,4.66666666666667,3.88888888888889,17.25,16.3636363636364,NA,NA,NA,NA,NA,6.89,1.7063829787234,7.0468085106383,4.74893617021277,0.293432203389831,NA,NA,NA,NA,NA,0.954954954954955,45,24,27,7,"Casey, Bentley","Drew Cammann","casey","cammann",FALSE,0,1,-2
"2026-02-20","Friday","Macalester",6,"Loras College",5,"Final","Final","Loras College",0,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2Np3UAg8qF%2fB%2bU%2bOBXLwVAoZfLEk5Ki6wqKevf29NexSOaLT%2b8DcQ%2fCNyEHvQWBi7&path=baseball",6,5,"D. Giusto","B. King",5,5,6,"Loras","Macalester",5,6,0,-1,6,5,1,1,NA,NA,5,5,10.8,9,NA,NA,NA,NA,NA,6.05,1.68775790921596,7.8363136176066,4.939477303989,0.286902286902287,NA,NA,NA,NA,NA,0.966475095785441,35,14,47,10,"D. Giusto","B. King","giusto","king",FALSE,0,1,-1
"2026-02-20","Friday","St. Scholastica",22,"Illinois College",10,"Final","Final","Illinois College",0,"Jacksonville, IL // Joe Brooks Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP70MuHmFeDr%2fHoyAaAHnUYRiua6jdcXRvInqE90T2dVKY%2b5fijwT50yk2R%2bRiRSmI129AOU0QOvfxYo29BKPkVV%2bPZE8ySXOdCfddS5PbwDqt3zT2pAw%2bfVZr6jmOLDIvPSk2vk6GxmOgIKvK7xDNyw%3d%3d&path=baseball",22,10,"D. Vernier (W, 1-0)","Z. Hlinsky (L, 0-1)",3.1,1.2,7,"Illinois","St. Scholastica",10,22,0,-12,22,10,1,12,NA,NA,1.66666666666667,3.33333333333333,27,27,NA,NA,NA,NA,NA,5.37,1.59531772575251,8.80434782608696,4.78595317725753,0.26270136307311,NA,NA,NA,NA,NA,0.940316686967113,49,9,38,4,"D. Vernier (W, 1-0)","Z. Hlinsky (L, 0-1)","vernier","hlinsky",FALSE,0,1,-12
"2026-02-20","Friday","Macalester",10,"Loras College",6,"Final","Final","Macalester",0,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2ncBaIB2BmboURjyAntJrEBrwJ7KiD7miVwFzpOg9eh0bwUTkU0gnFakXrOWhXHRZ&path=baseball",10,6,"T. Ball","A. Williamso",0,6,8,"Loras","Macalester",5.5,8,0,-2.5,8,5.5,1,2.5,0,0,5.5,2.5,12.9,9,NA,NA,NA,NA,NA,6.05,1.68775790921596,7.8363136176066,4.939477303989,0.286902286902287,NA,NA,NA,NA,NA,0.966475095785441,35,14,47,10,"T. Ball","A. Williamso","ball","williamso",FALSE,0,1,-4
"2026-02-20","Friday","St. Scholastica",5,"Illinois College",6,"Final","Final","St. Scholastica",0,"Jacksonville, IL // Joe Brooks Baseball Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP70MuHmFeDr%2fHoyAaAHnUYRiua6jdcXRvInqE90T2dVKY%2b5fijwT50yk2R%2bRiRSmI4dMdSpZOKCW97q7HQoW1OtlEiK39swY%2bV2Ryj4tnPzuJdsX7ApBTew7SOXCyfO67&path=baseball",5,6,"A. Buonaura","L. Price",4,2.2,9,"Illinois","St. Scholastica",8,13.5,0.5,-5.5,13.5,8,0.5,5.5,0,0,2.16666666666667,3.66666666666667,21.9375,20.25,NA,NA,NA,NA,NA,5.37,1.59531772575251,8.80434782608696,4.78595317725753,0.26270136307311,NA,NA,NA,NA,NA,0.940316686967113,49,9,38,4,"A. Buonaura","L. Price","buonaura","price",FALSE,1,1,1
"2026-02-20","Friday","Saint Mary's",3,"Luther College",5,"Final","Final","Luther College",0,"Tucson, AZ // Kino Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCTS9SeyAUoto5SdY%2fTBNU8KtgIJ9JDdHr0Q6qRvaRCBNumeY%2bjNFUgVgutY3RVtbi&path=baseball",3,5,"Connor Tulley (L, 0-1)","Josh Stratton (W, 1-0)",3,5,10,"Luther","Saint Mary's",5,3,1,2,3,5,0,-2,NA,NA,5,3,5.4,15,NA,NA,NA,NA,NA,4.31,1.39514978601997,6.43223965763195,3.3509272467903,0.272209567198178,NA,NA,NA,NA,NA,0.98422090729783,16,31,20,9,"Connor Tulley (L, 0-1)","Josh Stratton (W, 1-0)","tulley","stratton",FALSE,1,1,2
