"Index","Team","AVG","G","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB-ATT","PO","A","E","FLD%"
NA,"St. Scholastica",0.322,26,832,222,268,43,9,26,192,407,0.489,128,39,153,19,0.43,13,6,"85-98",598,174,49,0.94
NA,"Bethel",0.317,28,927,264,294,73,8,32,229,479,0.517,163,54,148,5,0.44,18,4,"33-37",682,221,29,0.969
NA,"Macalester",0.304,30,992,216,302,68,6,8,195,406,0.409,133,40,202,8,0.405,8,12,"43-52",727,282,35,0.966
NA,"Saint John's",0.297,25,841,182,250,36,12,13,156,349,0.415,106,19,180,12,0.387,4,11,"29-39",608,207,35,0.959
NA,"St. Olaf",0.294,28,898,185,264,66,3,23,164,405,0.451,109,35,206,13,0.388,9,13,"15-18",645,249,49,0.948
NA,"Carleton",0.281,22,677,111,190,34,11,6,102,264,0.39,69,27,144,9,0.366,8,10,"12-13",492,178,47,0.934
NA,"Augsburg",0.279,17,499,95,139,26,5,1,86,178,0.357,70,16,97,11,0.381,5,6,"12-16",362,108,24,0.951
NA,"Saint Mary's",0.276,29,879,163,243,52,5,14,147,347,0.395,125,47,201,13,0.389,15,28,"49-59",701,297,16,0.984
NA,"Gustavus",0.265,26,796,148,211,36,14,15,142,320,0.402,101,12,194,6,0.353,8,2,"41-50",606,196,33,0.96
NA,"Hamline",0.257,30,900,166,231,31,9,2,143,286,0.318,115,84,223,4,0.385,17,26,"58-71",705,249,45,0.955
NA,"Concordia",0.242,23,691,86,167,30,4,7,80,226,0.327,100,21,179,11,0.352,6,8,"25-30",516,181,28,0.961
