"Index","Team","C","PO","A","E","FLD%","DP","SBA","CSB","SBA%","PB","CI"
NA,"Saint Mary's",1014,701,297,16,0.984,31,20,9,0.69,3,0
NA,"Bethel",932,682,221,29,0.969,12,40,15,0.727,13,0
NA,"Macalester",1044,727,282,35,0.966,14,47,10,0.825,4,1
NA,"Concordia",725,516,181,28,0.961,9,45,9,0.833,1,2
NA,"Gustavus",835,606,196,33,0.96,13,28,5,0.848,11,2
NA,"Saint John's",850,608,207,35,0.959,18,35,9,0.795,6,0
NA,"Hamline",999,705,249,45,0.955,24,27,7,0.794,13,0
NA,"Augsburg",494,362,108,24,0.951,8,33,6,0.846,1,0
NA,"St. Olaf",943,645,249,49,0.948,21,35,14,0.714,5,0
NA,"St. Scholastica",821,598,174,49,0.94,9,38,4,0.905,6,0
NA,"Carleton",717,492,178,47,0.934,14,69,4,0.945,22,0
